DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 900 -c 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Mon Oct  5 23:04:38 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469510fa18._getpgpkey.example.com CERT 0.003949
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513d6ca._getpgpkey.example.com CERT 0.004343
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ca476._getpgpkey.example.com CERT 0.004285
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fd938._getpgpkey.example.com CERT 0.004323
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518558c._getpgpkey.example.com CERT 0.004430
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a2447._getpgpkey.example.com CERT 0.004748
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519fb74._getpgpkey.example.com CERT 0.005134
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695139d7e._getpgpkey.example.com CERT 0.005145
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a0bee._getpgpkey.example.com CERT 0.005551
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d2ead._getpgpkey.example.com CERT 0.005961
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695118f93._getpgpkey.example.com CERT 0.006346
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515bfda._getpgpkey.example.com CERT 0.006857
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951bc213._getpgpkey.example.com CERT 0.006767
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e640c._getpgpkey.example.com CERT 0.006688
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695197902._getpgpkey.example.com CERT 0.006873
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695102ebb._getpgpkey.example.com CERT 0.006765
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519abb9._getpgpkey.example.com CERT 0.006839
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d10a5._getpgpkey.example.com CERT 0.006795
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695191df7._getpgpkey.example.com CERT 0.006810
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d939b._getpgpkey.example.com CERT 0.006873
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951aba61._getpgpkey.example.com CERT 0.006910
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515a25e._getpgpkey.example.com CERT 0.007025
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695160f09._getpgpkey.example.com CERT 0.007129
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695132181._getpgpkey.example.com CERT 0.007129
