DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Wed Sep 30 22:27:49 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695157b4d._getpgpkey.example.com CERT 0.002738
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695179f97._getpgpkey.example.com CERT 0.000290
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d97cd._getpgpkey.example.com CERT 0.000324
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e1cea._getpgpkey.example.com CERT 0.000341
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a0f7d._getpgpkey.example.com CERT 0.000330
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ac260._getpgpkey.example.com CERT 0.000325
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951bd302._getpgpkey.example.com CERT 0.000363
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511d8d9._getpgpkey.example.com CERT 0.000332
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951be6d3._getpgpkey.example.com CERT 0.000356
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695182aaa._getpgpkey.example.com CERT 0.000336
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695154e74._getpgpkey.example.com CERT 0.000340
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951deb0f._getpgpkey.example.com CERT 0.000355
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517cc46._getpgpkey.example.com CERT 0.000348
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fe9a5._getpgpkey.example.com CERT 0.000326
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951148c3._getpgpkey.example.com CERT 0.000332
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695111f1f._getpgpkey.example.com CERT 0.000329
